dteday,season,hour,holiday,weekday,workingday,weather,temp,atemp,hum,windspeed,casual,registered
2011-01-06,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11
2011-01-06,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4
2011-01-06,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2
2011-01-06,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1
2011-01-06,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4
2011-01-06,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36
2011-01-06,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95
2011-01-06,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216
2011-01-06,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116
2011-01-06,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42
2011-01-06,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57
2011-01-06,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78
2011-01-06,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55
2011-01-06,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59
2011-01-06,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54
2011-01-06,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74
2011-01-06,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163
2011-01-06,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158
2011-01-06,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109
2011-01-06,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66
2011-01-06,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48
2011-01-06,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51
2011-01-06,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19
